planet_name,host_name,disc_method,disc_year,pl_orbper_days,pl_rad_rearth,pl_mass_mearth,st_teff_k,st_rad_rsun,st_mass_msun,pl_mass_mjup,pl_rad_rjup,habitable_zone_flag,esi,has_mass,has_radius,has_stellar_data
CoRoT-7 d,CoRoT-7,radial velocity,2022,8.966,4.31,17.142,5250.0,0.8389,0.915,0.05393483267679374,0.38451244535641,inner,0.0,True,True,True
CoRoT-8 b,CoRoT-8,transit,2010,6.21229,6.39,69.92,5080.0,0.77,0.88,0.2199932038712763,0.5700776162012668,inner,0.0,True,True,True
CoRoT-9 b,CoRoT-9,transit,2009,95.272656,11.948794,266.9772,5625.0,0.96,0.96,0.8400052858778962,1.066,inner,0.0,True,True,True
DE CVn b,DE CVn,eclipse timing variations,2018,4098.1,12.4,,3579.0,0.424754,0.51,,1.1062539031135694,outer,,False,True,True
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,astrometry,2013,246.36,11.9,9057.77,,,0.075,28.498967995267883,1.0616468908912482,unknown,0.0,True,True,False
DH Tau b,DH Tau,imaging,2004,,30.2643,3496.0,4371.0,0.27,0.33,10.999660193563816,2.7,unknown,0.0,True,True,True
DMPP-1 b,DMPP-1,radial velocity,2019,18.57,5.29,,6196.0,1.26,1.21,,0.47194218931215987,inner,,False,True,True
DMPP-1 c,DMPP-1,radial velocity,2019,6.584,3.06,,6196.0,1.26,1.21,,0.27299491480060667,inner,,False,True,True
DMPP-1 d,DMPP-1,radial velocity,2019,2.882,1.65,,6196.0,1.26,1.21,,0.14720314033366044,inner,,False,True,True
DMPP-1 e,DMPP-1,radial velocity,2019,5.516,1.86,,6196.0,1.26,1.21,,0.16593808546703542,inner,,False,True,True
DMPP-2 b,DMPP-2,radial velocity,2019,5.2072,14.3,,6500.0,1.78,1.44,,1.2757605495583906,inner,,False,True,True
DMPP-3 A b,DMPP-3 A,radial velocity,2019,6.6732,1.41,,5138.0,0.91,0.87,,0.1257917744669462,inner,,False,True,True
DMPP-4 b,DMPP-4,radial velocity,2023,3.4982,3.53,,6400.0,1.38,1.25,,0.3149255062895887,inner,,False,True,True
DP Leo b,DP Leo,eclipse timing variations,2009,10220.0,12.7,1995.88832,13500.0,0.0115,0.69,6.279774972626704,1.1330181104469623,outer,0.0,True,True,True
DS Tuc A b,DS Tuc A,transit,2019,8.138268,5.7,413.179,5428.0,0.964,1.01,1.3000081805253156,0.5085199393344634,inner,0.0,True,True,True
EPIC 201170410.02,EPIC 201170410,transit,2020,6.7987,1.047,,3648.0,0.282,0.287,,0.0934070835935409,outer,,False,True,True
EPIC 201238110 b,EPIC 201238110,transit,2019,28.1656,1.87,,3587.0,0.374,0.41,,0.16683022571148187,outer,,False,True,True
